census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Whitehorse - City,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,3635,1910,1725,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001009'>View boundary on map</a>,,6001009
2021,Beaver Creek,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,10,5,5,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001042
2021,Beaver Creek,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,10,5,5,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,,,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote204'>204</a>,6001042
2021,Beaver Creek,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Beaver Creek,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001042'>View boundary on map</a>,,6001042
2021,Burwash Landing,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,5,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001039
2021,Burwash Landing,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,,,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Eligibility and instruction in the minority official language for school-aged children,5,5,5,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote204'>204</a>,6001039
2021,Burwash Landing,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Burwash Landing,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,0,5,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001039'>View boundary on map</a>,,6001039
2021,Carcross,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,55,30,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001048
2021,Carcross,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,10,5,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,,6001048
2021,Carcross,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,50,30,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001048'>View boundary on map</a>,,6001048
